Set	Reference	pval	odds.ratio	intersection	union	FDR_AdjP	Jaccard	Bonf_AdjP	BH_AdjP	name_full	group	OR.ci95.down	OR.ci95.up
myTestGenes	REACTOME_CHROMATIN_MODIFYING_ENZYMES	6.22531182330326e-05	9.98054596042199	6	301	0.29047304967533	0.0199335548172757	0.29047304967533	0.29047304967533	AD	msigdbSetsPruned	4.20497440633854	23.6889188951882
myTestGenes	GO_PEPTIDYL_AMINO_ACID_MODIFICATION	0.000966313595625175	3.75640436501704	10	1222	1	0.00818330605564648	1	1	AD	msigdbSetsPruned	1.86703428944978	7.55774751072058
myTestGenes	GO_NEGATIVE_REGULATION_OF_ANION_TRANSPORT	0.00185467796712169	35.3353195184234	2	70	1	0.0285714285714286	1	1	AD	msigdbSetsPruned	8.07433123800054	154.636312118682
myTestGenes	GO_PEPTIDYL_LYSINE_MODIFICATION	0.00267444610933016	5.74037173040407	5	404	1	0.0123762376237624	1	1	AD	msigdbSetsPruned	2.260305058042	14.5785045633473
myTestGenes	GO_PROTEIN_ACYLATION	0.00278297586551316	7.45583621812281	4	264	1	0.0151515151515152	1	1	AD	msigdbSetsPruned	2.65558315688433	20.9330645765551
myTestGenes	REACTOME_SELENOAMINO_ACID_METABOLISM	0.00357395264994159	10.6069376572132	3	160	1	0.01875	1	1	AD	msigdbSetsPruned	3.24824809092235	34.6362480065558
myTestGenes	REACTOME_DEACTIVATION_OF_THE_BETA_CATENIN_TRANSACTIVATING_COMPLEX	0.00485415654335967	21.0033089231622	2	85	1	0.0235294117647059	1	1	AD	msigdbSetsPruned	4.9168227108025	89.7203360114205
myTestGenes	KEGG_TIGHT_JUNCTION	0.00492904968184283	9.41992446639813	3	174	1	0.0172413793103448	1	1	AD	msigdbSetsPruned	2.88939131612261	30.7106124592784
myTestGenes	GO_CHROMOSOME_ORGANIZATION	0.00885855307018056	3.03413110938101	8	1157	1	0.00691443388072602	1	1	AD	msigdbSetsPruned	1.41678781679416	6.49776309464914
myTestGenes	REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	0.0101412294080685	14.127245688718	2	103	1	0.0194174757281553	1	1	AD	msigdbSetsPruned	3.34623595909726	59.6428563881796
myTestGenes	GO_HISTONE_H3_ACETYLATION	0.0101412294080685	14.127245688718	2	103	1	0.0194174757281553	1	1	AD	msigdbSetsPruned	3.34623595909726	59.6428563881796
myTestGenes	GO_TRANSLATIONAL_INITIATION	0.0115452876696527	6.84207476815195	3	221	1	0.0135746606334842	1	1	AD	msigdbSetsPruned	2.10606078914313	22.2282221739802
myTestGenes	GO_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS	0.0119909690586653	2.56114762725112	10	1719	1	0.0058173356602676	1	1	AD	msigdbSetsPruned	1.27383987322612	5.14937340747667
myTestGenes	GO_PROTEIN_TARGETING_TO_MEMBRANE	0.0130082375180359	6.5372671569017	3	229	1	0.0131004366812227	1	1	AD	msigdbSetsPruned	2.01307619161993	21.2291328359092
myTestGenes	GO_POSITIVE_REGULATION_OF_MUSCLE_TISSUE_DEVELOPMENT	0.0138137168042447	11.9461793990532	2	113	1	0.0176991150442478	1	1	AD	msigdbSetsPruned	2.84020900480457	50.2467255025769
myTestGenes	GO_VIRAL_GENE_EXPRESSION	0.0139741464122867	6.35977466485662	3	234	1	0.0128205128205128	1	1	AD	msigdbSetsPruned	1.95889380004012	20.6477419995529
myTestGenes	GO_RETINA_HOMEOSTASIS	0.0142083178179115	11.7646371468262	2	114	1	0.0175438596491228	1	1	AD	msigdbSetsPruned	2.79791926316186	49.4677201800575
myTestGenes	REACTOME_ONCOGENIC_MAPK_SIGNALING	0.0154211778833146	11.2515748727468	2	117	1	0.0170940170940171	1	1	AD	msigdbSetsPruned	2.67825973794231	47.2687302592585
