Set,Reference,pval,odds.ratio,intersection,union,FDR_AdjP,Jaccard,Bonf_AdjP,BH_AdjP,name_full,group,OR.ci95.down,OR.ci95.up,gwas,model_ID,qvalue,star,pathway,Pvalue,FDR,neg_log10p
EN,Regulation.of.synapse.assembly (Re),0.00443379741597712,4.33119240432506,6,724,0.461114931261621,0.00828729281767956,0.461114931261621,0.461114931261621,PD,syngoAll,1.81563056830928,10.3320730388186,PD__EN_no_meta_analysis,EN_no_meta_analysis,0.46111493126162,"",EN_no_meta_analysis,0.00443379741597712,0.461114931261621,2.35322415405716
EN,Synapse.assembly (Re),0.0106391771536961,2.84937311875759,8,760,0.530391701925619,0.0105263157894737,1,0.530391701925619,PD,syngoAll,1.36633996340558,5.94209888266905,PD__EN_no_meta_analysis,EN_no_meta_analysis,0.530391701925619,"",EN_no_meta_analysis,0.0106391771536961,0.530391701925619,1.97309195958121
EN,Regulation.of.presynapse.assembly (Re),0.0163250121543072,4.583480921382,4,711,0.530391701925619,0.00562587904360056,1,0.530391701925619,PD,syngoAll,1.57515473122051,13.3372912135397,PD__EN_no_meta_analysis,EN_no_meta_analysis,0.530391701925619,"",EN_no_meta_analysis,0.0163250121543072,0.530391701925619,1.7871464867116
EN,Process.in.the.synapse (Re),0.0228744060422774,1.43535018152332,40,1401,0.530391701925619,0.0285510349750178,1,0.530391701925619,PD,syngoAll,1.03396934695686,1.99254470131306,PD__EN_no_meta_analysis,EN_no_meta_analysis,0.530391701925619,"",EN_no_meta_analysis,0.0228744060422774,0.530391701925619,1.64065017402262
EN,Regulation.of.postsynaptic.neurotransmitter.receptor.activity (Re),0.0254996010541163,5.39621158014845,3,703,0.530391701925619,0.0042674253200569,1,0.530391701925619,PD,syngoAll,1.54711991590644,18.8214883140896,PD__EN_no_meta_analysis,EN_no_meta_analysis,0.530391701925619,"",EN_no_meta_analysis,0.0254996010541163,0.530391701925619,1.59346661412884
EN,Transport (Re),0.0328192066569072,3.60035120622855,4,717,0.568866248719724,0.00557880055788006,1,0.568866248719724,PD,syngoAll,1.25934068125115,10.2931073387649,PD__EN_no_meta_analysis,EN_no_meta_analysis,0.568866248719725,"",EN_no_meta_analysis,0.0328192066569072,0.568866248719724,1.48387192141491
EN,Neurotransmitter.receptor.transport.to.plasma.membrane (Re),0.0750357099150479,5.03075703050973,2,699,0.707585387845687,0.00286123032904149,1,0.707585387845687,PD,syngoAll,1.10015097204452,23.0045847734786,PD__EN_no_meta_analysis,EN_no_meta_analysis,0.707585387845687,"",EN_no_meta_analysis,0.0750357099150479,0.707585387845687,1.12473200423297
EN,Synapse (Re),0.0771855547077252,1.27696847344927,44,1566,0.707585387845687,0.0280970625798212,1,0.707585387845687,PD,syngoAll,0.933916704977344,1.7460320320782,PD__EN_no_meta_analysis,EN_no_meta_analysis,0.707585387845687,"",EN_no_meta_analysis,0.0771855547077252,0.707585387845687,1.11246397036028
EN,Neurotransmitter.receptor.transport (Re),0.0864943670944357,4.57313989407231,2,700,0.707585387845687,0.00285714285714286,1,0.707585387845687,PD,syngoAll,1.01167544689575,20.672250725198,PD__EN_no_meta_analysis,EN_no_meta_analysis,0.707585387845687,"",EN_no_meta_analysis,0.0864943670944357,0.707585387845687,1.06301217484109
EN,Synaptic.vesicle.cycle (Re),0.0881288887536634,1.68318972963486,10,839,0.707585387845687,0.0119189511323004,1,0.707585387845687,PD,syngoAll,0.883361717674614,3.20721128079476,PD__EN_no_meta_analysis,EN_no_meta_analysis,0.707585387845687,"",EN_no_meta_analysis,0.0881288887536634,0.707585387845687,1.05488170600627
